date,SearchFrequency
2017-11-15,30
2017-11-16,28
2017-11-17,40
2017-11-18,25
2017-11-19,17
2017-11-20,38
2017-11-21,52
2017-11-22,50
2017-11-23,38
2017-11-24,37
2017-11-25,23
2017-11-26,31
2017-11-27,50
2017-11-28,61
2017-11-29,53
2017-11-30,61
2017-12-01,45
2017-12-02,32
2017-12-03,35
2017-12-04,54
2017-12-05,43
2017-12-06,53
2017-12-07,89
2017-12-08,84
2017-12-09,52
2017-12-10,39
2017-12-11,77
2017-12-12,76
2017-12-13,78
2017-12-14,71
2017-12-15,56
2017-12-16,47
2017-12-17,59
2017-12-18,80
2017-12-19,89
2017-12-20,93
2017-12-21,100
2017-12-22,85
2017-12-23,52
2017-12-24,43
2017-12-25,39
2017-12-26,59
2017-12-27,68
2017-12-28,56
2017-12-29,45
2017-12-30,37
2017-12-31,40
2018-01-01,25
2018-01-02,54
2018-01-03,71
2018-01-04,60
2018-01-05,69
2018-01-06,44
2018-01-07,43
2018-01-08,64
2018-01-09,72
2018-01-10,86
2018-01-11,90
2018-01-12,76
2018-01-13,51
2018-01-14,55
2018-01-15,66
2018-01-16,74
2018-01-17,99
2018-01-18,75
2018-01-19,64
2018-01-20,53
2018-01-21,38
2018-01-22,58
2018-01-23,63
2018-01-24,62
2018-01-25,70
2018-01-26,75
2018-01-27,36
2018-01-28,38
2018-01-29,59
2018-01-30,60
2018-01-31,49
2018-02-01,66
2018-02-02,65
2018-02-03,35
2018-02-04,33
2018-02-05,46
2018-02-06,51
2018-02-07,49
2018-02-08,55
2018-02-09,43
2018-02-10,27
2018-02-11,24
2018-02-12,38
2018-02-13,46
2018-02-14,39
2018-02-15,46
2018-02-16,51
2018-02-17,27
2018-02-18,26
2018-02-19,40
2018-02-20,51
2018-02-21,46
2018-02-22,56
2018-02-23,38
2018-02-24,25
2018-02-25,15
2018-02-26,58
2018-02-27,31
2018-02-28,46
2018-03-01,39
2018-03-02,42
2018-03-03,23
2018-03-04,24
2018-03-05,41
2018-03-06,42
2018-03-07,42
2018-03-08,33
2018-03-09,33
2018-03-10,27
2018-03-11,16
2018-03-12,50
2018-03-13,50
2018-03-14,40
2018-03-15,32
2018-03-16,36
2018-03-17,24
2018-03-18,15
2018-03-19,31
2018-03-20,45
2018-03-21,43
