date,SearchFrequency
2017-11-15,8
2017-11-16,0
2017-11-17,0
2017-11-18,45
2017-11-19,9
2017-11-20,15
2017-11-21,15
2017-11-22,8
2017-11-23,8
2017-11-24,0
2017-11-25,26
2017-11-26,18
2017-11-27,15
2017-11-28,23
2017-11-29,8
2017-11-30,23
2017-12-01,8
2017-12-02,27
2017-12-03,0
2017-12-04,8
2017-12-05,31
2017-12-06,23
2017-12-07,32
2017-12-08,16
2017-12-09,36
2017-12-10,9
2017-12-11,38
2017-12-12,46
2017-12-13,38
2017-12-14,55
2017-12-15,41
2017-12-16,9
2017-12-17,27
2017-12-18,55
2017-12-19,64
2017-12-20,49
2017-12-21,50
2017-12-22,62
2017-12-23,0
2017-12-24,40
2017-12-25,20
2017-12-26,9
2017-12-27,8
2017-12-28,50
2017-12-29,9
2017-12-30,37
2017-12-31,19
2018-01-01,38
2018-01-02,40
2018-01-03,0
2018-01-04,54
2018-01-05,79
2018-01-06,53
2018-01-07,34
2018-01-08,61
2018-01-09,53
2018-01-10,45
2018-01-11,100
2018-01-12,24
2018-01-13,44
2018-01-14,9
2018-01-15,45
2018-01-16,59
2018-01-17,82
2018-01-18,38
2018-01-19,31
2018-01-20,43
2018-01-21,34
2018-01-22,15
2018-01-23,22
2018-01-24,66
2018-01-25,23
2018-01-26,16
2018-01-27,0
2018-01-28,26
2018-01-29,7
2018-01-30,30
2018-01-31,30
2018-02-01,38
2018-02-02,62
2018-02-03,26
2018-02-04,17
2018-02-05,45
2018-02-06,7
2018-02-07,30
2018-02-08,15
2018-02-09,16
2018-02-10,8
2018-02-11,17
2018-02-12,23
2018-02-13,53
2018-02-14,15
2018-02-15,31
2018-02-16,8
2018-02-17,17
2018-02-18,9
2018-02-19,8
2018-02-20,30
2018-02-21,22
2018-02-22,23
2018-02-23,16
2018-02-24,17
2018-02-25,17
2018-02-26,15
2018-02-27,29
2018-02-28,22
2018-03-01,15
2018-03-02,46
2018-03-03,25
2018-03-04,17
2018-03-05,7
2018-03-06,15
2018-03-07,0
2018-03-08,15
2018-03-09,23
2018-03-10,0
2018-03-11,8
2018-03-12,36
2018-03-13,15
2018-03-14,7
2018-03-15,15
2018-03-16,16
2018-03-17,9
2018-03-18,17
2018-03-19,15
2018-03-20,15
2018-03-21,7
