date,SearchFrequency
2017-11-15,21
2017-11-16,12
2017-11-17,21
2017-11-18,22
2017-11-19,30
2017-11-20,28
2017-11-21,35
2017-11-22,29
2017-11-23,40
2017-11-24,41
2017-11-25,44
2017-11-26,51
2017-11-27,53
2017-11-28,68
2017-11-29,80
2017-11-30,72
2017-12-01,55
2017-12-02,36
2017-12-03,46
2017-12-04,60
2017-12-05,32
2017-12-06,48
2017-12-07,74
2017-12-08,69
2017-12-09,57
2017-12-10,50
2017-12-11,65
2017-12-12,85
2017-12-13,91
2017-12-14,79
2017-12-15,65
2017-12-16,50
2017-12-17,49
2017-12-18,62
2017-12-19,76
2017-12-20,84
2017-12-21,66
2017-12-22,91
2017-12-23,53
2017-12-24,41
2017-12-25,31
2017-12-26,39
2017-12-27,49
2017-12-28,45
2017-12-29,42
2017-12-30,33
2017-12-31,36
2018-01-01,31
2018-01-02,59
2018-01-03,66
2018-01-04,80
2018-01-05,60
2018-01-06,42
2018-01-07,60
2018-01-08,87
2018-01-09,82
2018-01-10,100
2018-01-11,83
2018-01-12,81
2018-01-13,57
2018-01-14,41
2018-01-15,53
2018-01-16,88
2018-01-17,88
2018-01-18,64
2018-01-19,60
2018-01-20,34
2018-01-21,34
2018-01-22,50
2018-01-23,37
2018-01-24,34
2018-01-25,35
2018-01-26,34
2018-01-27,29
2018-01-28,41
2018-01-29,35
2018-01-30,41
2018-01-31,36
2018-02-01,49
2018-02-02,54
2018-02-03,38
2018-02-04,29
2018-02-05,47
2018-02-06,72
2018-02-07,53
2018-02-08,41
2018-02-09,28
2018-02-10,26
2018-02-11,22
2018-02-12,26
2018-02-13,19
2018-02-14,22
2018-02-15,24
2018-02-16,25
2018-02-17,18
2018-02-18,22
2018-02-19,19
2018-02-20,27
2018-02-21,26
2018-02-22,16
2018-02-23,20
2018-02-24,15
2018-02-25,10
2018-02-26,15
2018-02-27,19
2018-02-28,16
2018-03-01,16
2018-03-02,13
2018-03-03,13
2018-03-04,17
2018-03-05,18
2018-03-06,12
2018-03-07,20
2018-03-08,17
2018-03-09,29
2018-03-10,13
2018-03-11,11
2018-03-12,12
2018-03-13,5
2018-03-14,14
2018-03-15,17
2018-03-16,9
2018-03-17,15
2018-03-18,23
2018-03-19,19
2018-03-20,16
2018-03-21,19
