date,SearchFrequency
2017-11-15,14
2017-11-16,15
2017-11-17,16
2017-11-18,10
2017-11-19,10
2017-11-20,15
2017-11-21,16
2017-11-22,15
2017-11-23,14
2017-11-24,11
2017-11-25,12
2017-11-26,16
2017-11-27,27
2017-11-28,29
2017-11-29,52
2017-11-30,44
2017-12-01,30
2017-12-02,21
2017-12-03,20
2017-12-04,28
2017-12-05,26
2017-12-06,35
2017-12-07,70
2017-12-08,61
2017-12-09,38
2017-12-10,39
2017-12-11,49
2017-12-12,44
2017-12-13,40
2017-12-14,33
2017-12-15,30
2017-12-16,30
2017-12-17,30
2017-12-18,37
2017-12-19,41
2017-12-20,56
2017-12-21,46
2017-12-22,100
2017-12-23,48
2017-12-24,40
2017-12-25,32
2017-12-26,33
2017-12-27,30
2017-12-28,33
2017-12-29,26
2017-12-30,26
2017-12-31,21
2018-01-01,19
2018-01-02,25
2018-01-03,27
2018-01-04,25
2018-01-05,24
2018-01-06,18
2018-01-07,17
2018-01-08,25
2018-01-09,25
2018-01-10,27
2018-01-11,32
2018-01-12,25
2018-01-13,18
2018-01-14,17
2018-01-15,19
2018-01-16,53
2018-01-17,63
2018-01-18,38
2018-01-19,29
2018-01-20,19
2018-01-21,21
2018-01-22,29
2018-01-23,27
2018-01-24,22
2018-01-25,20
2018-01-26,23
2018-01-27,15
2018-01-28,13
2018-01-29,17
2018-01-30,24
2018-01-31,25
2018-02-01,34
2018-02-02,48
2018-02-03,24
2018-02-04,22
2018-02-05,49
2018-02-06,64
2018-02-07,38
2018-02-08,31
2018-02-09,27
2018-02-10,18
2018-02-11,15
2018-02-12,20
2018-02-13,18
2018-02-14,16
2018-02-15,18
2018-02-16,18
2018-02-17,14
2018-02-18,13
2018-02-19,13
2018-02-20,16
2018-02-21,19
2018-02-22,18
2018-02-23,13
2018-02-24,11
2018-02-25,10
2018-02-26,14
2018-02-27,13
2018-02-28,12
2018-03-01,11
2018-03-02,11
2018-03-03,10
2018-03-04,8
2018-03-05,10
2018-03-06,10
2018-03-07,14
2018-03-08,15
2018-03-09,18
2018-03-10,9
2018-03-11,9
2018-03-12,11
2018-03-13,11
2018-03-14,15
2018-03-15,16
2018-03-16,13
2018-03-17,11
2018-03-18,14
2018-03-19,15
2018-03-20,14
2018-03-21,13
